crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"b4757026-9f20-4588-8701-ac75ff3137fd","http_version":"1.1","method":"GET","path":"/app/assets/chunk-KCWP7RF5-wYqFnYiX.js","status":200,"response_size":0,"request_size":0,"duration":98.639,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.658Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"6014c577-6c55-496e-bb66-31103522a1cb","http_version":"1.1","method":"GET","path":"/app/assets/chunk-FBYTX6K7-8s2QXKaE.js","status":200,"response_size":0,"request_size":0,"duration":183.024,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.671Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"c7602ce3-e27f-4308-b812-35dbf22e7679","http_version":"1.1","method":"GET","path":"/app/assets/chunk-C76H5USB-Cj_GmSwy.js","status":200,"response_size":166,"request_size":0,"duration":71.531,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.701Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"1ff7ecb3-5ff1-4bac-8d45-041e83263398","http_version":"1.1","method":"GET","path":"/app/assets/chunk-HQKGZADC-BWI-eXve.js","status":200,"response_size":0,"request_size":0,"duration":50.589,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.755Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"3837dddf-a515-46a8-98c3-6ff08ca8a268","http_version":"1.1","method":"GET","path":"/app/assets/chunk-DTZXEQXZ-CqPPLFNu.js","status":200,"response_size":0,"request_size":0,"duration":105.413,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.758Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"f0568a3b-a6b9-41ee-ba54-a9629790d4d9","http_version":"1.1","method":"GET","path":"/app/assets/chunk-EMIHDNB7-Cclc4r8R.js","status":200,"response_size":0,"request_size":0,"duration":49.297,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.762Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"2d39bc21-d1ae-4df3-9d9f-1baa8bc7f4fe","http_version":"1.1","method":"GET","path":"/app/assets/index-BC5wO5Ux.js","status":200,"response_size":0,"request_size":0,"duration":50.747,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.790Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"b1b9877a-55dc-4fd1-8ec0-c83af12a6bef","http_version":"1.1","method":"GET","path":"/app/assets/chunk-IW4TACOD-BjaTqK7C.js","status":200,"response_size":678,"request_size":0,"duration":39.655,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.792Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"07fd9dd3-f15f-4510-81a8-a3ab21f582d8","http_version":"1.1","method":"GET","path":"/app/assets/chunk-ZQJPHZKI-eYE79ahL.js","status":200,"response_size":0,"request_size":0,"duration":42.6,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.812Z"}
crm-backend  | {"level":"http","client_ip":"::ffff:172.18.0.1","request_id":"8b16efc4-831b-4a2a-8a01-9aa5842e3475","http_version":"1.1","method":"GET","path":"/app/assets/chunk-GIZFNLKK-Cc57m3W-.js","status":200,"response_size":0,"request_size":0,"duration":49.422,"referrer":"-","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","timestamp":"2026-04-04T06:38:10.837Z"}
